Отметка времени	Тип проблемы	Название продукта	Ссылка на пуш в репе	Комментарий
16.03.2022 19:09:15	Политические лозунги	retejs/rete	https://github.com/retejs/rete/commit/d3ff828a41f96e34f04619eb44c688c913ee8def	#StandWithUkraine postinstall message
16.03.2022 19:21:10	Политические лозунги	composer - PHPшный менеджер пакетов	https://github.com/composer/packagist/commit/86244a3695fcaaac9c5ba4257a4314eae1c6d981	Выводится шильдик #StandWithUkrane
16.03.2022 19:24:10	Политические лозунги	PHPUnit	https://github.com/sebastianbergmann/phpunit/commit/4634e702b5f05f5e948e531eb8b4fc19be40610c	Шильдик #StandWithUkraine
16.03.2022 20:23:15	Политические лозунги	tasmota	https://github.com/arendst/Tasmota/commit/98cbf2587a1a914bbd16996ebb48dd451d3da448	Варьируется от сообщений в логе до неработоспособности устройства
16.03.2022 22:08:01	Политические лозунги	StandWithUkraine	https://github.com/vshymanskyy/StandWithUkraine	Список интегрировавших к себе призывы задонатить вна Украину в README.md
17.03.2022 0:05:49	Политические лозунги	Redis Desktop Manager (ранее - resp-app)	https://github.com/uglide/RedisDesktopManager/commit/3880176abbb0ee877672fd1ae74bda9546a4d1a6	Политические лозунги в README, политические коммиты с кодом в истории. Создатель - укр.
17.03.2022 10:45:25	Политические лозунги, но не исключены и малвари	Группа проектов StandWithUkraine	https://github.com/vshymanskyy/StandWithUkraine#projects-that-standwithukraine	По ссылке список проектов участвующих в акции
17.03.2022 10:54:07	Политические лозунги	ECMAScript extensions	https://github.com/medikoo/es5-ext/commit/28de285ed433b45113f01e4ce7c74e9a356b2af2	anti-war manifest
17.03.2022 10:55:40	Политические лозунги	verdaccio	https://github.com/verdaccio/verdaccio/pull/3060	Баннер в поддержку украины
17.03.2022 11:59:10	Политические лозунги	Awesome Prometheus Alerts	https://github.com/samber/awesome-prometheus-alerts/commit/6bfcdcca165e57c6fa09a561515c33284caa20c2	Определяет активный у пользователя язык и редиректит на страницу с лозунгами. В следующих коммитах код удалили.
17.03.2022 11:46:57	Политические лозунги	https://docs.nestjs.com/	https://github.com/nestjs/docs.nestjs.com/commit/a411b74d114a1342170334e84e426b3259c3872c	В документации полит. лозунг "STOP RUSSIA'S INVASION OF UKRAINE"
17.03.2022 11:42:35	Политлозунги и призывы к блокировке сервисов, не исключен пуш malicious code в указанные в списки библиотеки	Stop Russia IT	https://github.com/stop-war-in-ukraine/stop-russia-it	По ссылке список сервисов, ссылок на обсуждения, петиции на change.org
17.03.2022 14:38:21	Политические лозунги	plantUml web ресурс	https://plantuml.com/ru/	Я аналитик, я не найду пуш в репе. plantUML много где используется как библиотечка для документирования и плагин в Idea. Но конкретно сейчас я нашла это в web версии
17.03.2022 17:46:57	Политические лозунги	filestash	https://github.com/mickael-kerjean/filestash-website/commit/c30a31a583c827182c92cb8ec4b5e8ba1d854c3d	С помощью определения ip показывали видео обращение Зеленского. Сейчас убрали
